User_ID,Age,Gender,Browser,Time_on_Site,Pages_Visited,Session_Duration,Bounce_Rate,Device_Type,Country,Referral_Source,Previous_Purchases,Cart_Value,Discount_Applied,Ad_Clicked,Membership_Status,Preferred_Payment_Method,Purchase_Made,Time_of_Day,Feedback_Score
3,39,Female,Edge,11.07,11,556,74.25,Mobile,Canada,Facebook,0,36.66,Yes,No,Platinum,Net Banking,Yes,Morning,1
4,,Female,Safari,21.22,7,462,58.15,Desktop,Australia,Google,8,358.85,Yes,No,Gold,PayPal,Yes,Afternoon,2
5,31,Male,Firefox,16.84,15,242,48.67,Tablet,India,Facebook,4,40.85,No,Yes,Gold,Credit Card,No,Afternoon,4
,21,Male,Edge,16.12,17,356,,Desktop,Australia,Direct,1,,Yes,No,Gold,Net Banking,Yes,Afternoon,4
7,50,Female,Safari,15.37,15,296,35.15,Mobile,Canada,Facebook,2,337.93,Yes,No,Platinum,Credit Card,Yes,Morning,2
8,41,Male,Edge,14.9,10,333,67.44,Desktop,USA,Instagram,0,189.86,Yes,Yes,Silver,Net Banking,No,Night,5
9,42,Female,Safari,8.65,4,286,6.53,Mobile,Canada,Facebook,5,441.59,No,Yes,Platinum,PayPal,No,Evening,2
10,39,Female,Chrome,,17,352,58.49,Tablet,UK,Facebook,5,402.25,No,No,Platinum,UPI,Yes,Evening,2
11,46,Male,Safari,24.63,4,193,27.87,Mobile,Australia,Instagram,2,463.72,Yes,No,Gold,Credit Card,No,Afternoon,1
12,31,Female,Edge,18.46,11,519,46.66,Tablet,India,Direct,2,164.3,No,Yes,Gold,Net Banking,Yes,Night,2
13,43,Female,Chrome,17.19,4,201,55.9,Tablet,India,Instagram,6,,Yes,Yes,Silver,UPI,No,Afternoon,3
,42,Female,Firefox,7.33,12,355,,Mobile,Canada,Google,0,407.62,No,Yes,Gold,Credit Card,No,Night,3
15,41,Female,Edge,20.43,10,232,57.91,Tablet,Canada,Direct,4,119.26,No,No,Gold,Credit Card,Yes,Night,4
16,23,Female,Firefox,,14,284,22.72,Mobile,Canada,Direct,2,238.91,No,Yes,Silver,UPI,No,Night,5
17,36,Male,Firefox,20.84,18,346,7.95,Desktop,India,Instagram,4,410.49,Yes,No,Gold,PayPal,Yes,Morning,4
18,39,Female,Edge,10.48,6,310,62.7,Tablet,USA,Facebook,3,115.91,No,No,Gold,UPI,Yes,Night,1
19,53,Male,Firefox,13,5,313,54.5,Desktop,India,Google,5,162.84,Yes,No,Gold,PayPal,Yes,Morning,2
20,36,Female,Edge,7.57,2,263,67.18,Desktop,USA,Google,8,225.15,Yes,Yes,Platinum,Net Banking,No,Evening,4
21,46,Male,Edge,7.15,13,231,45.94,Mobile,Canada,Direct,1,143.19,No,No,Gold,PayPal,Yes,Evening,2
22,20,Male,Safari,12.12,14,366,82.51,Mobile,UK,Google,9,236.05,Yes,No,Platinum,Net Banking,No,Morning,4
